sAA	AF_post	power
0.025	1.0	0.0
0.025	0.9940308199505482	0.957149870220791
0.025	0.986153999402331	0.9999999998895969
0.025	0.9764318108597061	0.9999999998401075
0.025	0.9649468294604173	0.9999999998363227
0.025	0.9517998779743746	0.9999999997271121
0.025	0.9371075258429137	0.9999999996992517
0.025	0.9209992603373814	0.9999999997305453
0.025	0.9036144578313251	0.9999999995973166
0.025	0.8850992840427256	0.9999999995731486
0.025	0.8656036446469246	0.9999999996510427
0.025	0.8452782933428741	0.9999999995195946
0.025	0.8242721851981759	0.9999999995699145
0.025	0.8027301410143588	0.9999999994894027
0.025	0.7807908655864325	0.9999999994732794
0.025	0.7585853408508455	0.9999999995165051
0.025	0.7362355953905246	0.999999999419271
0.025	0.7138538355015502	0.9999999994794999
0.025	0.6915419104795193	0.9999999995735889
0.025	0.6693910760184171	0.999999999523148
0.025	0.6474820143884888	0.9999999995063282
0.025	0.6258850679207675	0.9999999994251237
0.025	0.6046606427067052	0.9999999994801262
0.025	0.5838597417162834	0.9999999994657254
0.025	0.5635245901639341	0.9999999994784183
0.025	0.543689320388349	0.9999999994137805
0.025	0.5243806883249951	0.999999999474089
0.025	0.5056187984977565	0.9999999994609046
0.025	0.48741781908864157	0.9999999994669742
0.025	0.469786672893858	0.9999999994830718
0.025	0.4527296937416773	0.9999999994236414
0.025	0.43624724118793434	0.9999999994790137
0.025	0.42033626901521176	0.9999999994440468
0.025	0.4049908452668206	0.9999999994226431
0.025	0.39020262328992483	0.9999999994112854
0.025	0.3759612645969804	0.9999999995120717
0.025	0.3622548153383986	0.9999999994197257
0.025	0.34907003886884136	0.9999999995362496
0.025	0.33639270733834425	0.9999999994607195
0.025	0.3242078554959269	0.9999999994936242
0.025	0.31249999999999956	0.9999999995290788
0.025	0.3012533275229962	0.9999999994715327
0.025	0.2904518548476043	0.9999999994122062
0.025	0.2800795640035318	0.9999999994657987
0.025	0.27012051530682885	0.9999999995218709
0.025	0.2605589409539816	0.9999999994781086
0.025	0.251379321602298	0.9999999995365023
0.025	0.24256644814547607	0.9999999995945061
0.025	0.23410547067520915	0.9999999995639984
0.025	0.22598193641077796	0.9999999995325417
0.025	0.21818181818181784	0.9999999994991439
0.025	0.21069153486662062	0.9999999995623938
0.025	0.20349796502034947	0.9999999995289146
0.025	0.19658845477462508	0.9999999996032282
0.025	0.18995082095183546	0.9999999995756811
0.025	0.1835733502136411	0.9999999995467271
0.025	0.1774447949526811	0.999999999516319
0.025	0.17155436653850045	0.9999999995852088
0.025	0.16589172644220632	0.999999999555549
0.025	0.1604469756883002	0.9999999995334704
0.025	0.1552106430155208	0.9999999996066199
0.025	0.15017367207039772	0.9999999995757409
0.025	0.14532740790665322	0.9999999995437666
0.025	0.14066358301974913	0.9999999995094291
0.025	0.13617430310797796	0.9999999995860046
0.025	0.1318520327188375	0.9999999995514793
0.025	0.12768958091136032	0.9999999996154152
0.025	0.12368008704102343	0.9999999996831658
0.025	0.11981700675332198	0.9999999996528821
0.025	0.11609409825460035	0.9999999996246762
0.025	0.11250540891388987	0.9999999995857289
0.025	0.10904526223694921	0.9999999995475811
0.025	0.10570824524312875	0.999999999607013
0.025	0.10248919626681066	0.9999999996729642
0.025	0.09938319319777236	0.9999999996391074
0.025	0.09638554216867451	0.9999999995973168
0.025	0.09349176669280397	0.9999999996486435
0.025	0.09069759725105149	0.9999999997094858
0.025	0.08799896132373501	0.9999999996730192
0.025	0.08539197386017576	0.9999999996238954
0.025	0.08287292817679542	0.9999999996824842
0.025	0.08043828727283772	0.999999999633092
0.025	0.07808467555155557	0.9999999996928275
0.025	0.07580887093377722	0.9999999996463006
